"","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case"
"68","hymenaea stigonocarpa",1000020879,TRUE,"Hymenaea stigonocarpa",1000020879,TRUE,"iPlant_TNRS","1","Mart. ex Hayne","http://www.tropicos.org/Name/13020524",1
"69","inga vera",704,TRUE,"Inga vera",704,TRUE,"iPlant_TNRS","1","Willd.","http://www.tropicos.org/Name/13021418",1
"70","ipomoea wolcottiana",1000006740,TRUE,"Ipomoea wolcottiana",1000006740,TRUE,"iPlant_TNRS","1","Rose","http://www.tropicos.org/Name/8502130",1
"71","kielmeyera coriacea",50498,TRUE,"Kielmeyera coriacea",50498,TRUE,"iPlant_TNRS","1","Mart. & Zucc.","http://www.tropicos.org/Name/7801213",1
"72","kleinhovia hospita",44340,TRUE,"Kleinhovia hospita",44340,TRUE,"iPlant_TNRS","1","L.","http://www.tropicos.org/Name/30401419",1
"73","lagerstroemia tomentosa",1000007008,TRUE,"Lagerstroemia tomentosa",1000007008,TRUE,"iPlant_TNRS","1","C. Presl","http://www.tropicos.org/Name/19200388",1
"74","laguncularia racemosa",746,TRUE,"Laguncularia racemosa",746,TRUE,"iPlant_TNRS","1","(L.) C.F. Gaertn.","http://www.tropicos.org/Name/8200077",1
"75","lonchocarpus muehlbergianus",1000020869,TRUE,"Dahlstedtia muehlbergiana",NA,FALSE,"iPlant_TNRS","1","(Hassl.) M.J. Silva & A.M.G. Azevedo","http://www.tropicos.org/Name/100381684",9
"76","luehea seemannii",50567,TRUE,"Luehea seemannii",50567,TRUE,"iPlant_TNRS","1","Triana & Planch.","http://www.tropicos.org/Name/32200236",1
"77","maclura tinctoria",39582,TRUE,"Maclura tinctoria",39582,TRUE,"iPlant_TNRS","1","(L.) D. Don ex Steud.","http://www.tropicos.org/Name/21300516",1
"78","manilkara bidentata",43171,TRUE,"Manilkara bidentata",43171,TRUE,"iPlant_TNRS","1","(A. DC.) A. Chev.","http://www.tropicos.org/Name/28700368",1
"79","manilkara chicle",1000007816,TRUE,"Manilkara chicle",1000007816,TRUE,"iPlant_TNRS","1","(Pittier) Gilly","http://www.tropicos.org/Name/28700413",1
"80","marila laxiflora",1000007859,TRUE,"Marila laxiflora",1000007859,TRUE,"iPlant_TNRS","1","Rusby","http://www.tropicos.org/Name/7800371",1
"81","miconia argentea",50624,TRUE,"Miconia argentea",50624,TRUE,"iPlant_TNRS","1","(Sw.) DC.","http://www.tropicos.org/Name/20302666",1
"82","miconia cuspidata",1000008327,TRUE,"Miconia cuspidata",1000008327,TRUE,"iPlant_TNRS","1","Mart. ex Naudin","http://www.tropicos.org/Name/20301030",1
"83","miconia minutiflora",1000008488,TRUE,"Miconia minutiflora",1000008488,TRUE,"iPlant_TNRS","1","(Bonpl.) DC.","http://www.tropicos.org/Name/20300169",1
"84","morisonia americana",13503,TRUE,"Morisonia americana",13503,TRUE,"iPlant_TNRS","1","L.","http://www.tropicos.org/Name/5900370",1
"85","myriocarpa longipes",50648,TRUE,"Myriocarpa longipes",50648,TRUE,"iPlant_TNRS","1","Liebm.","http://www.tropicos.org/Name/33400494",1
"86","myrospermum frutescens",17254,TRUE,"Myrospermum frutescens",17254,TRUE,"iPlant_TNRS","1","Jacq.","http://www.tropicos.org/Name/13036060",1
"87","myrsine guianensis",1000009201,TRUE,"Myrsine guianensis",1000009201,TRUE,"iPlant_TNRS","1","(Aubl.) Kuntze","http://www.tropicos.org/Name/22000930",1
"88","ochroma pyramidale",25655,TRUE,"Ochroma pyramidale",25655,TRUE,"iPlant_TNRS","1","(Cav. ex Lam.) Urb.","http://www.tropicos.org/Name/3900204",1
"89","ocotea diospyrifolia",1000020870,TRUE,"Ocotea diospyrifolia",1000020870,TRUE,"iPlant_TNRS","1","(Meisn.) Mez","http://www.tropicos.org/Name/17803863",1
"90","ocotea insularis",1000009467,TRUE,"Ocotea insularis",1000009467,TRUE,"iPlant_TNRS","1","(Meisn.) Mez","http://www.tropicos.org/Name/17800241",1
"91","ouratea lucens",1000009869,TRUE,"Ouratea lucens",1000009869,TRUE,"iPlant_TNRS","1","(Kunth) Engl.","http://www.tropicos.org/Name/22800107",1
"92","parapiptadenia rigida",1000020871,TRUE,"Parapiptadenia rigida",1000020871,TRUE,"iPlant_TNRS","1","(Benth.) Brenan","http://www.tropicos.org/Name/13011305",1
"93","piper reticulatum",24509,TRUE,"Piper reticulatum",24509,TRUE,"iPlant_TNRS","1","L.","http://www.tropicos.org/Name/25001139",1
"94","piscidia carthagenensis",25287,TRUE,"Piscidia carthagenensis",25287,TRUE,"iPlant_TNRS","1","Jacq.","http://www.tropicos.org/Name/13031807",1
"95","pithecellobium dulce",25660,TRUE,"Pithecellobium dulce",25660,TRUE,"iPlant_TNRS","1","(Roxb.) Benth.","http://www.tropicos.org/Name/13012638",1
"96","poulsenia armata",50786,TRUE,"Poulsenia armata",50786,TRUE,"iPlant_TNRS","1","(Miq.) Standl.","http://www.tropicos.org/Name/21300623",1
"97","pourouma bicolor",1000011418,TRUE,"Pourouma bicolor",1000011418,TRUE,"iPlant_TNRS","1","Mart.","http://www.tropicos.org/Name/21301041",1
"98","prioria copaifera",50795,TRUE,"Prioria copaifera",50795,TRUE,"iPlant_TNRS","1","Griseb.","http://www.tropicos.org/Name/13044814",1
"99","protium panamense",1000011665,TRUE,"Protium panamense",1000011665,TRUE,"iPlant_TNRS","1","(Rose) I.M. Johnst.","http://www.tropicos.org/Name/4700236",1
"100","pseudobombax septenatum",50836,TRUE,"Pseudobombax septenatum",50836,TRUE,"iPlant_TNRS","1","(Jacq.) Dugand","http://www.tropicos.org/Name/3900261",1
"101","psidium sartorianum",1000011797,TRUE,"Psidium sartorianum",1000011797,TRUE,"iPlant_TNRS","1","(O. Berg) Nied.","http://www.tropicos.org/Name/22102112",1
"102","qualea grandiflora",50863,TRUE,"Qualea grandiflora",50863,TRUE,"iPlant_TNRS","1","Mart.","http://www.tropicos.org/Name/34100133",1
"103","qualea parviflora",1000012111,TRUE,"Qualea parviflora",1000012111,TRUE,"iPlant_TNRS","1","Mart.","http://www.tropicos.org/Name/34100163",1
"104","rhizophora mangle",1196,TRUE,"Rhizophora mangle",1196,TRUE,"iPlant_TNRS","1","L.","http://www.tropicos.org/Name/27600058",1
"105","schefflera macrocarpa",1000020872,TRUE,"Schefflera macrocarpa",1000020872,TRUE,"iPlant_TNRS","1","(Cham. & Schltdl.) Frodin","http://www.tropicos.org/Name/50254555",1
"106","schefflera morototoni",51206,TRUE,"Schefflera morototoni",51206,TRUE,"iPlant_TNRS","1","(Aubl.) Maguire, Steyerm. & Frodin","http://www.tropicos.org/Name/2200796",1
"107","sclerolobium paniculatum",1000013036,TRUE,"Tachigali vulgaris",NA,FALSE,"iPlant_TNRS","1","L.F. Gomes da Silva & H.C. Lima","http://www.tropicos.org/Name/50317942",9
"108","semialarium mexicanum",1000020873,TRUE,"Semialarium mexicanum",1000020873,TRUE,"iPlant_TNRS","1","(Miers) Mennega","http://www.tropicos.org/Name/15600396",1
"109","senna dariensis",1000013190,TRUE,"Senna dariensis",1000013190,TRUE,"iPlant_TNRS","1","(Britton & Rose) H.S. Irwin & Barneby","http://www.tropicos.org/Name/13041308",1
"110","simarouba amara",50962,TRUE,"Simarouba amara",50962,TRUE,"iPlant_TNRS","1","Aubl.","http://www.tropicos.org/Name/29400090",1
"111","simarouba glauca",13388,TRUE,"Simarouba amara",50962,TRUE,"iPlant_TNRS","1","Aubl.","http://www.tropicos.org/Name/29400090",3
