"","X","ksat","kl","P50","ax","SLA","WD","species","citation_id","site_id"
"260",260,"3.89","0.000468","-2.3","NA","NA","0.61","Cipadessa baccifera",1000000084,1000026724
"261",261,"1.57","0.000169","-3.4","NA","NA","0.71","Cleistanthus sumatranus",1000000084,1000026724
"262",262,"4.07","0.000438","-1.6","NA","NA","0.63","Croton crassifolius",1000000084,1000026724
"263",263,"7.74","0.000985","-1.4","NA","NA","0.61","Lagerstroemia tomentosa",1000000084,1000026724
"264",264,"2.12","0.000223","-2","NA","NA","0.69","Lasiococca comberi",1000000084,1000026724
"265",265,"7.73","0.000777","-1.1","NA","NA","0.53","Millettia cubitti",1000000084,1000026724
"266",266,"4.61","0.000236","-1.6","NA","NA","0.63","Millettia leptobotrya",1000000084,1000026724
"267",267,"2.01","0.000387","-4.1","NA","NA","0.72","Pistacia weinmannifolia",1000000084,1000026724
"268",268,"6.15","0.000603","-1.2","NA","7.413102413","0.61","Syzygium cumini",1000000084,1000026724
"269",269,"4.57","0.000416","-2","NA","NA","0.64","Syzygium latilimbum",1000000084,1000026724
"270",270,"8.06","0.000697","-1.3","NA","NA","0.53","Syzygium szemaoense",1000000084,1000026724
"271",271,"2.73","0.000501","-2.2","NA","NA","0.58","Turpinia pomifera",1000000084,1000026724
"272",272,"NA","NA","-3.2","58.46153846","NA","0.520307692","Cordia alliodora",1000000068,1000005005
"273",273,"NA","NA","-1.6","63.33333333","NA","0.4","Ficus citrifolia",1000000068,1000005005
"274",274,"NA","NA","-1.8","14.07407407","NA","NA","Ouratea lucens",1000000068,1000005005
