"","Ptlp","WD","SLA","Organ","Biome","citation_id","site_id","species_id"
"170",-1.661293333,"0.7205","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000014363
"171",-1.657133333,"0.47","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000014519
"172",-2.04332,"0.47","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000014519
"173",-1.738946667,"0.47","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000014519
"174",-2.109186667,"0.47","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000014519
"175",-1.520546667,"0.605","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000014967
"176",-1.992013333,"0.605","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000014967
"177",-1.957346667,"0.605","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000014967
"178",-1.761826667,"0.57","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000015035
"179",-1.838093333,"0.470125","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000015187
"180",-1.644653333,"0.470125","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000015187
"181",-2.499533333,"0.793625","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000015307
"182",-2.048866667,"0.793625","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000015307
"183",-2.104333333,"0.793625","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000015307
"184",-2.063426667,"0.793625","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000015307
"185",-1.907426667,"0.793625","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000015307
"186",-2.256866667,"0.793625","NA","Leaf","Tropical rainforest",1000000148,1000026746,1000015307
"187",-0.995,"0.384560171","10.78134125","Leaf","Tropical rainforest",1000000149,1000026725,49943
"188",-1.81,"0.541821562","NA","Leaf","Tropical rainforest",1000000149,1000026725,50624
"189",-2.782178,"0.74","NA","Leaf","Tropical rainforest",1000000102,2000000003,1000000969
"190",-2.900261354,"0.66","NA","Leaf","Tropical rainforest",1000000102,2000000002,28944
"191",-2.038259321,"0.4","NA","Leaf","Tropical rainforest",1000000102,2000000002,1000005277
"192",-3.051426366,"0.67","NA","Leaf","Tropical rainforest",1000000102,2000000003,43171
"193",-2.662673758,"0.62","NA","Leaf","Tropical rainforest",1000000102,2000000003,1000011665
"194",-2.341414674,"0.64","NA","Leaf","Tropical rainforest",1000000102,2000000003,50999
"195",-2.188606647,"0.5","NA","Leaf","Tropical rainforest",1000000102,2000000003,1000014356
"196",-2.53675004,"0.57","NA","Leaf","Tropical rainforest",1000000102,2000000003,1000014798
"197",-2.301080569,"0.56","NA","Leaf","Tropical rainforest",1000000102,2000000003,1000015271
"198",-1.82,"0.62","NA","Leaf","Tropical rainforest",1000000150,1000026740,363
"199",-2.07,"0.867692308","16.97792869","Leaf","Tropical seasonal forest",1000000151,1000026743,49993
"200",-0.69,"0.305","15.31393568","Leaf","Tropical seasonal forest",1000000151,1000026743,227
"201",-2.14,"0.71225","19.49317739","Leaf","Tropical seasonal forest",1000000151,1000026743,39891
"202",-1.49,"1.043333333","22.37136465","Leaf","Tropical seasonal forest",1000000151,1000026743,36729
"203",-2.03,"0.78","NA","Leaf","Tropical seasonal forest",1000000162,1000026748,1000001875
"204",-3.08,"0.75","NA","Leaf","Tropical seasonal forest",1000000162,1000026748,1000020994
"205",-1.88,"0.47","NA","Leaf","Tropical seasonal forest",1000000162,1000026748,1000020999
"206",-2.06,"0.607","NA","Leaf","Tropical rainforest",1000000152,820,28069
"207",-1.93,"0.653","13.12335958","Leaf","Tropical seasonal forest",1000000154,1000026747,19251
"208",-0.81,"0.44","NA","Leaf","Tropical seasonal forest",1000000141,1000026744,11796
"209",-1.74,"0.491","NA","Leaf","Tropical seasonal forest",1000000141,1000026744,1000020997
"210",-2.04,"0.73","10.23292992","Leaf","Tropical seasonal forest",1000000141,1000026744,1300
"211",-3.65,"0.86","8.896797153","Leaf","Tropical seasonal forest",1000000155,1000025744,50074
"212",-4.08,"0.88","6.798096533","Leaf","Tropical seasonal forest",1000000155,1000025744,13503
"213",-2.46,"0.85","26.9541779","Leaf","Tropical seasonal forest",1000000156,1000025744,1000003609
"214",-2.32,"0.6","24.06639004","Leaf","Tropical seasonal forest",1000000156,1000025744,49882
"215",-2.51,"NA","17.51313485","Leaf","Tropical seasonal forest",1000000156,1000025744,49884
"216",-4.08,"0.6","6.638217166","Leaf","Tropical seasonal forest",1000000156,1000025744,13503
"217",-1.89,"0.67","NA","Leaf","Tropical rainforest",1000000157,1133,1000020990
"218",-1.97,"0.61","NA","Leaf","Tropical rainforest",1000000157,1133,1000020977
"219",-1.98,"0.63","NA","Leaf","Tropical rainforest",1000000157,1133,1000020995
"220",-1.95,"0.61","2.818382931","Leaf","Tropical rainforest",1000000157,1133,50884
"221",-1.87,"0.55","6.165950019","Leaf","Tropical rainforest",1000000157,1133,50885
"222",-1.28,"0.653571429","NA","Leaf","Tropical rainforest",1000000158,1133,1000002221
"223",-1.36,"NA","9.54992586","Leaf","Tropical rainforest",1000000158,1133,492
"224",-1.12,"NA","NA","Leaf","Tropical rainforest",1000000158,1133,860
"225",-1.5,"0.5105","NA","Leaf","Tropical rainforest",1000000158,1133,1000009396
"226",-2.04,"0.535989568","35","Leaf","Tropical rainforest",1000000159,1000005005,49937
"227",-1.74,"0.67","30.8","Leaf","Tropical rainforest",1000000159,1000005005,1000006385
"228",-1.41,"0.62","14.7","Leaf","Tropical rainforest",1000000159,1000005005,18178
"229",-1.84,"0.726990909","12.3","Leaf","Tropical rainforest",1000000159,1000005005,1000009869
"230",-1.86,"0.56362","23.1","Leaf","Tropical rainforest",1000000159,1000005005,1000011923
"231",-1.88,"0.841537052","15.7","Leaf","Tropical rainforest",1000000159,1000005005,50986
"232",-2.27,"0.666457143","18.83239171","Leaf","Tropical rainforest",1000000160,1000026715,1000020863
"233",-1.28,"0.4666","31.25","Leaf","Tropical rainforest",1000000160,1000026715,1000002385
"234",-1.58,"0.688","17.57469244","Leaf","Tropical rainforest",1000000160,1000026715,1000020991
"235",-1.85,"0.794526667","23.98081535","Leaf","Tropical rainforest",1000000160,1000026715,39582
"236",-1.36,"0.74388","32.78688525","Leaf","Tropical rainforest",1000000160,1000026715,1000010391
"237",-2.5,"0.91","5.952380952","Leaf","Tropical seasonal forest",1000000161,1000026742,50036
"238",-2.2,"0.65","8.474576271","Leaf","Tropical seasonal forest",1000000161,1000026742,10238
"239",-2.73,"0.705","15.92356688","Leaf","Tropical seasonal forest",1000000161,1000026742,281
"240",-2.63,"0.45","6.711409396","Leaf","Tropical seasonal forest",1000000161,1000026742,50148
